Date,Country,City,Specie,count,min,max,median,variance
18-07-2020,IN,Hāpur,co,38,0.6,38,9.6,612.89
19-07-2020,IN,Hāpur,co,9,1.9,28.8,7.4,604.62
09-03-2020,IN,Hāpur,co,58,0.5,31.7,8.8,398.89
29-03-2020,IN,Hāpur,co,54,3.6,23.5,8.4,72.23
19-05-2020,IN,Hāpur,co,50,3.8,23.5,9.6,212.22
17-06-2020,IN,Hāpur,co,39,1.7,19.2,9.8,73.73
19-06-2020,IN,Hāpur,co,39,1,16.9,10,82.81
01-06-2020,IN,Hāpur,co,49,2.2,14.5,7.3,43.99
08-02-2020,IN,Hāpur,co,95,0.2,85.9,10.1,760.8
18-03-2020,IN,Hāpur,co,63,0.8,19.7,10.2,185.24
20-04-2020,IN,Hāpur,co,59,1.3,30.7,11.5,272.92
26-04-2020,IN,Hāpur,co,24,3.6,13.1,10,77.71
29-04-2020,IN,Hāpur,co,25,4.6,12.8,8.7,51.58
10-01-2020,IN,Hāpur,co,95,0.1,25.2,6.6,275.29
23-04-2020,IN,Hāpur,co,50,1.4,25.3,11.8,115.74
24-04-2020,IN,Hāpur,co,60,3.8,41,12.1,376.15
22-05-2020,IN,Hāpur,co,53,1.5,24.6,13.7,331.23
31-05-2020,IN,Hāpur,co,44,2,15.2,7,121.18
28-06-2020,IN,Hāpur,co,46,1.5,19.9,9.5,147.59
06-01-2020,IN,Hāpur,co,91,0.1,19.3,7.3,200.4
07-04-2020,IN,Hāpur,co,69,1,31.9,9.4,271.17
18-04-2020,IN,Hāpur,co,57,3.3,51.6,9.3,704.48
17-07-2020,IN,Hāpur,co,48,0.3,56.2,8.8,917.08
03-03-2020,IN,Hāpur,co,48,0.1,33.7,8.8,518.21
23-03-2020,IN,Hāpur,co,56,3,25.9,12,207.05
16-04-2020,IN,Hāpur,co,68,5.2,44,14.5,600.89
15-02-2020,IN,Hāpur,co,95,0.1,83.8,8.3,866.42
21-02-2020,IN,Hāpur,co,68,0.1,17,6.7,85.46
23-02-2020,IN,Hāpur,co,71,0.2,23.2,12.1,235.23
26-02-2020,IN,Hāpur,co,71,5,85.1,11,887.09
27-02-2020,IN,Hāpur,co,88,0.1,36.9,9.3,309.56
22-04-2020,IN,Hāpur,co,51,1.5,29,12,162.68
14-06-2020,IN,Hāpur,co,56,5.1,47.9,9.4,369.73
16-06-2020,IN,Hāpur,co,65,3.5,48,10.3,327.21
05-07-2020,IN,Hāpur,co,38,0.3,17,7.2,97.47
09-07-2020,IN,Hāpur,co,42,8.4,67.6,11.6,2564.85
16-01-2020,IN,Hāpur,co,71,0.1,32,8.9,245.2
19-01-2020,IN,Hāpur,co,76,0.1,82.4,7.2,821.24
22-02-2020,IN,Hāpur,co,67,0.1,35.9,8.4,585.26
12-04-2020,IN,Hāpur,co,69,3.2,26.4,11.2,242.85
21-04-2020,IN,Hāpur,co,57,4.8,26.7,10.9,221.24
25-04-2020,IN,Hāpur,co,51,6.7,33.9,11.5,226.53
28-04-2020,IN,Hāpur,co,38,4.6,11.8,7.7,29.42
14-05-2020,IN,Hāpur,co,48,4.9,21.5,13.1,270.98
17-01-2020,IN,Hāpur,co,57,0.1,23.5,9.3,144.61
10-03-2020,IN,Hāpur,co,54,0.8,27.8,10.1,303.36
17-03-2020,IN,Hāpur,co,59,1.5,19.5,12.5,153.24
27-03-2020,IN,Hāpur,co,52,0.5,28.1,10.7,172.79
02-04-2020,IN,Hāpur,co,70,3.4,32.4,8.5,217.1
20-05-2020,IN,Hāpur,co,48,4.3,23.9,12.1,145.27
22-06-2020,IN,Hāpur,co,41,0.6,14.8,10.5,161.88
11-01-2020,IN,Hāpur,co,92,0.1,30.2,7.3,332.32
24-01-2020,IN,Hāpur,co,93,0.1,83.8,8.8,842.28
12-03-2020,IN,Hāpur,co,56,1.5,39,11.5,417.84
25-03-2020,IN,Hāpur,co,56,3,46,11.9,550.78
28-05-2020,IN,Hāpur,co,49,1.6,11.9,7.7,43.78
04-06-2020,IN,Hāpur,co,48,7.4,23.7,11.2,129.24
25-06-2020,IN,Hāpur,co,50,3,15.9,9.6,52.55
08-07-2020,IN,Hāpur,co,41,2.3,22.9,10.9,168.76
26-01-2020,IN,Hāpur,co,78,0.1,30.7,12.9,276.32
05-02-2020,IN,Hāpur,co,89,2.1,86.4,9.3,815.48
09-02-2020,IN,Hāpur,co,95,0.1,28.8,10.2,266.09
28-03-2020,IN,Hāpur,co,63,0.9,32.7,9.9,344.52
05-04-2020,IN,Hāpur,co,69,1,31.2,12.5,339.61
26-05-2020,IN,Hāpur,co,49,1.5,23.3,10.5,231.92
27-05-2020,IN,Hāpur,co,48,1.5,22.4,9.2,104.07
05-06-2020,IN,Hāpur,co,48,5.7,15,9,32.45
02-01-2020,IN,Hāpur,co,93,0.1,31.9,11.7,591.22
16-02-2020,IN,Hāpur,co,95,0.1,24.3,10.8,180.76
24-03-2020,IN,Hāpur,co,67,0.6,49.5,11.6,631.11
30-04-2020,IN,Hāpur,co,40,7.5,14.9,11.9,53.44
07-05-2020,IN,Hāpur,co,55,2,31.3,7.1,285.82
15-06-2020,IN,Hāpur,co,76,0.8,48.4,9.4,301.58
20-06-2020,IN,Hāpur,co,47,0.1,15.2,6.4,57.31
15-07-2020,IN,Hāpur,co,43,0.1,18.9,8.5,126.92
10-06-2020,IN,Hāpur,co,60,0.1,17.7,10.7,237.88
02-07-2020,IN,Hāpur,co,40,0.3,22.1,9.3,146.19
31-01-2020,IN,Hāpur,co,92,0.1,84.4,9.2,844.25
15-03-2020,IN,Hāpur,co,60,0.1,27.1,8.6,198.71
08-04-2020,IN,Hāpur,co,61,3.6,49,9.8,666.95
01-05-2020,IN,Hāpur,co,47,5.5,11.5,9.5,23.85
21-05-2020,IN,Hāpur,co,51,2.9,21.6,12.2,132.74
27-06-2020,IN,Hāpur,co,39,1.5,24.1,11.7,509.71
20-01-2020,IN,Hāpur,co,84,0.1,83.3,8.5,826.35
27-01-2020,IN,Hāpur,co,90,0.1,23.7,12.6,230.86
04-02-2020,IN,Hāpur,co,93,0.1,29.2,11.6,368.1
08-03-2020,IN,Hāpur,co,56,0.2,46.3,11.3,441.81
03-04-2020,IN,Hāpur,co,70,1.1,31.7,9.2,281.48
18-05-2020,IN,Hāpur,co,52,1.9,22.4,11.4,153.18
09-06-2020,IN,Hāpur,co,49,0.5,16.8,10.8,96.13
11-06-2020,IN,Hāpur,co,76,1.3,82.2,10.5,1120.89
23-01-2020,IN,Hāpur,co,91,0.1,84.1,7.1,863.5
16-03-2020,IN,Hāpur,co,49,2.6,26.4,9.8,269.79
21-03-2020,IN,Hāpur,co,52,0.1,31.7,12.3,396.89
31-03-2020,IN,Hāpur,co,68,0.2,30.2,9.2,315.85
19-04-2020,IN,Hāpur,co,54,0.1,28.1,9.1,205.23
04-07-2020,IN,Hāpur,co,58,3.6,35.7,8.8,348.64
25-01-2020,IN,Hāpur,co,92,0.1,24.7,12.8,281.93
14-02-2020,IN,Hāpur,co,93,0.9,84.2,6.9,735.28
17-02-2020,IN,Hāpur,co,95,0.1,23.7,9.5,174.66
13-03-2020,IN,Hāpur,co,52,1.7,56.8,8.7,531.6
15-05-2020,IN,Hāpur,co,54,1.5,19.6,9.9,230.17
07-06-2020,IN,Hāpur,co,49,4.6,14.7,10.2,61.22
18-06-2020,IN,Hāpur,co,27,2.1,15.5,10.4,94.66
13-07-2020,IN,Hāpur,co,50,1.1,22.9,8.9,151.52
20-02-2020,IN,Hāpur,co,73,0.2,17.7,10.4,127.26
04-03-2020,IN,Hāpur,co,84,0.1,18,10.2,129.3
06-03-2020,IN,Hāpur,co,69,3,15.2,7.2,55.7
11-05-2020,IN,Hāpur,co,48,4.8,79.9,8.7,1085.44
17-05-2020,IN,Hāpur,co,52,1.2,40.3,13.4,1228.85
27-04-2020,IN,Hāpur,co,31,6.2,11.4,8.8,26.03
12-05-2020,IN,Hāpur,co,47,4.5,14.2,8.4,98.91
10-07-2020,IN,Hāpur,co,48,0.6,72,10.4,1392.47
12-01-2020,IN,Hāpur,co,93,0.1,33,14,682.68
28-01-2020,IN,Hāpur,co,94,0.1,83.9,8.9,953.78
30-01-2020,IN,Hāpur,co,95,1.8,84.7,7.3,1390.15
30-03-2020,IN,Hāpur,co,60,4.8,21.6,8.7,88.54
10-04-2020,IN,Hāpur,co,63,1.8,38.8,12.9,419.78
16-07-2020,IN,Hāpur,co,50,0.3,20.8,7.5,94.11
